first_name,last_name,full_name,phone,client_id,dob,age,inception,city,state,street,advisor,lat,lon,account_types,total_aum
Cori,Dennis,Cori Dennis,497-516-3923,259,1968-10-16,50,2016-04-04,Louisville,KY,9401 3rd Street Road,Cynthia,38.115066,-85.823278,"Roth 401(k),529",37384.340388528886
Amber,Coronado,Amber Coronado,499-393-7670,260,1966-05-14,52,2015-02-01,Bethany,OK,6821 Northwest 25th Street,Cynthia,35.495752,-97.633589,Traditional IRA,19020.648561543825
Gregg,Lawson,Gregg Lawson,318-340-2505,261,1982-12-25,35,2016-05-24,Nashville,TN,511 Norton Avenue,Robert,36.2076149,-86.756013,529,15180.54308076504
Clarissa,Williams,Clarissa Williams,456-890-8852,262,1963-09-22,55,2014-11-27,Panama City,FL,103 North East Avenue,Cynthia,30.14617599999999,-85.625518,"Roth IRA,Brokerage,Traditional IRA,Roth 401(k),529",52484.197397769414
Augustine,Thomas,Augustine Thomas,249-319-2925,263,1968-08-01,50,2008-08-09,Millersville,MD,316 Sourwood Court,Cynthia,39.100198,-76.606707,Roth IRA,23423.829689458595
Holly,Hardwick,Holly Hardwick,264-184-8415,264,1953-09-06,65,2000-04-28,Moore,OK,2325 Eastridge Circle,Robert,35.358778,-97.4688594,Roth IRA,23774.524290887613
Catherine,Besson,Catherine Besson,437-409-7789,265,1980-10-05,38,2011-12-12,Washington,DC,519 Roxboro Place Northwest,Robert,38.9656982,-77.0208081,"Traditional IRA,Brokerage",274643.25113861234
Janice,Jong,Janice Jong,146-942-9463,266,1963-05-20,55,2007-03-25,Arvada,CO,6108 Iris Way,Cynthia,39.8082309,-105.1055592,"Roth IRA,Traditional IRA,529,Roth 401(k)",143483.92205335246
Mary,Draper,Mary Draper,282-881-8044,267,1972-12-19,45,2015-08-17,Fayetteville,AR,6086 Kennedy Drive,Robert,36.103629,-94.24773599999999,"Roth IRA,Roth 401(k),Brokerage",24206.903878102396
Marcelina,Lowers,Marcelina Lowers,645-826-4818,268,1967-08-17,51,2015-06-05,Arvada,CO,5055 West 58th Avenue,Cynthia,39.8024171,-105.0505121,"Roth 401(k),529,Brokerage,Roth IRA",80590.23172869522
Samuel,Murphy,Samuel Murphy,231-725-4748,269,1971-01-23,47,2000-08-21,Savannah,GA,13213 Spanish Moss Road,Robert,31.959828,-81.147904,Traditional IRA,9004.282909341291
Kristen,Guay,Kristen Guay,628-209-5453,270,1957-05-14,61,2014-05-26,Louisville,KY,406 Stilz Avenue,Robert,38.249288,-85.681572,"Brokerage,Roth IRA,Roth 401(k),529",43874.44897697408
Tina,Robinson,Tina Robinson,517-220-8134,271,1979-09-04,39,2000-09-16,Louisville,KY,3118 Sora Avenue,Robert,38.208849,-85.724113,"529,Traditional IRA,Roth IRA,Roth 401(k)",47629.74857866741
Judith,Jimenez,Judith Jimenez,688-460-7322,272,1978-04-05,40,2013-09-27,Hayward,CA,236 Alden Road,Robert,37.682588,-122.112121,"Brokerage,Traditional IRA",13034.65562067407
Monica,Thomas,Monica Thomas,259-207-6754,273,1986-03-11,32,2006-06-13,Annapolis,MD,110 Carraway Lane,Cynthia,38.9744956,-76.5058135,"Traditional IRA,Roth IRA,529,Roth 401(k),Brokerage",58329.63149431547
Darcy,Weaver,Darcy Weaver,208-111-0336,274,1978-06-20,40,2008-06-05,Annapolis,MD,1030 Lake Claire Drive,Robert,39.048603,-76.448911,"Brokerage,Traditional IRA,Roth 401(k)",41610.75120010652
Yvette,Presto,Yvette Presto,509-639-4937,275,1984-03-04,34,2017-04-19,Anchorage,AK,8521 Crystal Street,Robert,61.143426,-149.94665,"Roth IRA,Traditional IRA",30946.608115626186
Laura,Hall,Laura Hall,589-146-2351,276,1986-12-12,31,2012-11-25,Nashville,TN,1123 Ardee Avenue,Cynthia,36.219121,-86.725616,"Traditional IRA,Roth 401(k)",33427.56289798445
Whitney,King,Whitney King,581-450-4790,277,1957-08-12,61,2000-09-08,Severn,MD,8358 WB&A Road,Robert,39.108962,-76.68668799999999,"Traditional IRA,Brokerage",77948.21441682949
William,Nemec,William Nemec,185-147-5493,278,1969-05-04,49,2013-06-19,Davidsonville,MD,707 Harrisburg Drive,Robert,38.935404,-76.616028,"Roth IRA,529,Brokerage",120174.8218523543
Theodore,Otting,Theodore Otting,217-918-8419,279,1960-09-25,58,2009-04-16,Fayetteville,AR,2076 North Crossover Road,Robert,36.0890802,-94.12149649999999,"Roth 401(k),529",172170.66641542135
Christina,Velazquez,Christina Velazquez,553-272-7984,280,1984-02-02,34,2017-12-05,Lynn Haven,FL,1213 Michigan Avenue,Cynthia,30.239862,-85.6460929,"Roth IRA,Traditional IRA,Brokerage",30845.11819517148
Simon,Hanson,Simon Hanson,411-591-1271,281,1979-04-18,39,2008-04-23,Manchester,CT,225 Kennedy Road,Robert,41.805598,-72.495897,"Brokerage,Roth IRA",44460.58051320966
John,Slivka,John Slivka,251-999-8753,282,1984-03-12,34,2006-12-09,Athol,MA,7 Oliver Street,Cynthia,42.5895133,-72.22493709999999,"Brokerage,Roth IRA,529,Roth 401(k)",78026.44616037069
John,Green,John Green,407-645-8093,283,1984-10-11,34,2000-08-27,Fayetteville,AR,7 South University Avenue,Cynthia,36.062438,-94.1686409,"Brokerage,529,Roth IRA,Roth 401(k)",45219.47509897612
Arthur,Bedell,Arthur Bedell,131-220-0300,284,1967-08-21,51,2001-05-08,Montgomery,AL,1230 Stafford Drive,Robert,32.32403,-86.14840099999999,"Brokerage,Roth 401(k),Roth IRA,529,Traditional IRA",57168.18376878914
Karyn,Mcnear,Karyn Mcnear,611-512-5465,285,1950-07-08,68,2009-01-08,Norman,OK,3313 East Tecumseh Road,Robert,35.264536,-97.392811,Roth IRA,6264.960372738951
Natalia,Daws,Natalia Daws,642-378-6818,286,1958-05-03,60,2004-03-06,Manchester,CT,20 Dearborn Drive,Robert,41.79968299999999,-72.497528,"Roth 401(k),Brokerage",248591.8560513409
Jennie,Merriam,Jennie Merriam,258-416-7772,287,1973-05-10,45,2016-10-13,Nashville,TN,1806 Boscobel Street,Robert,36.170799,-86.73835299999999,"Traditional IRA,Roth 401(k),529,Brokerage,Roth IRA",308537.22771803796
Danielle,Goodwin,Danielle Goodwin,608-171-9898,288,1970-01-06,48,2009-08-21,Louisville,KY,7607 Beulah Church Road,Robert,38.133023,-85.61475840000001,"529,Roth IRA",20997.839940126032
Kenneth,Winski,Kenneth Winski,645-513-5604,289,1959-03-25,59,2017-08-01,Nashville,TN,416 McIver Street,Robert,36.10436,-86.74411599999999,"Roth IRA,Roth 401(k)",14581.30734179056
Caroline,Griffin,Caroline Griffin,495-423-7753,290,1961-10-01,57,2009-10-19,Fayetteville,AR,376 North Williams Drive,Cynthia,36.067997,-94.142563,"Brokerage,Roth IRA",19935.16489976738
Michael,Raley,Michael Raley,119-895-8645,291,1971-01-06,47,2006-12-11,Deale,MD,5926 Sneed Drive,Robert,38.78465,-76.54507799999999,"529,Traditional IRA,Roth 401(k),Brokerage",41417.3172637157
Shirley,Gerdes,Shirley Gerdes,309-629-9842,292,1950-11-07,68,2004-02-13,Tewksbury,MA,41 Fairway Drive,Robert,42.5941537,-71.20413839999999,"Roth 401(k),Traditional IRA",13667.128411286783
Maribel,Mckenna,Maribel Mckenna,190-770-3209,293,1959-04-25,59,2011-04-21,Arvada,CO,7025 Queen Street,Cynthia,39.825484,-105.124587,"Brokerage,Traditional IRA,529",205935.0145827166
Nikita,Guess,Nikita Guess,336-928-8619,294,1968-05-21,50,2008-03-15,Jeffersontown,KY,3013 Sprowl Road,Robert,38.1966913,-85.5693363,"Traditional IRA,Roth 401(k),Brokerage,Roth IRA,529",68792.08270256702
David,White,David White,204-580-7971,295,1957-03-01,61,2017-06-01,Panama City,FL,5242 Thornton Lane,Robert,30.126486,-85.593897,"529,Traditional IRA,Roth IRA,Roth 401(k),Brokerage",250169.077241686
Jane,Monath,Jane Monath,247-669-8959,296,1967-02-26,51,2004-10-22,Washington,DC,3728 9th Street Northwest,Cynthia,38.936736,-77.02556,Brokerage,9463.439287630186
John,Meyer,John Meyer,306-615-8265,297,1971-03-11,47,2006-01-14,Arvada,CO,7912 Depew Street,Cynthia,39.839139,-105.0586469,"Brokerage,529,Traditional IRA,Roth IRA",36822.17238429543
Mary,Mcginnis,Mary Mcginnis,502-826-1392,298,1988-02-27,30,2004-08-20,Carson,CA,849 East Victoria Street,Cynthia,33.8673562,-118.2597713,"Roth 401(k),Roth IRA,Brokerage",230574.02756946575
Jerry,Gerwig,Jerry Gerwig,289-472-5783,299,1951-08-28,67,2000-01-15,Manchester,CT,52 Park Street,Robert,41.770035,-72.523426,"Traditional IRA,Roth IRA,Roth 401(k),Brokerage",55458.468699387835
William,Townsend,William Townsend,149-661-4326,300,1959-05-12,59,2006-04-22,Arvada,CO,7250 Urban Drive,Cynthia,39.827875,-105.133965,"Roth IRA,Roth 401(k),529,Brokerage",50404.84535261321
Alexander,Rhoda,Alexander Rhoda,114-332-1969,301,1982-05-01,36,2008-06-28,Manchester,CT,30 Tanner Street,Robert,41.789215,-72.515486,"Roth 401(k),Brokerage,529,Roth IRA,Traditional IRA",91909.07245569116
Marjorie,Lamphier,Marjorie Lamphier,403-230-0230,302,1962-05-10,56,2005-09-11,Fayetteville,AR,2505 North Hampton Court,Robert,36.0959268,-94.1238079,"529,Roth IRA",37056.1754829163
Richard,Alvarez,Richard Alvarez,333-692-8817,303,1973-02-14,45,2000-07-14,Sacramento,CA,6244 Sun River Drive,Cynthia,38.512894,-121.41258,"Roth 401(k),Roth IRA,529,Traditional IRA",134441.37682195852
Herbert,Garcia,Herbert Garcia,495-679-2431,304,1960-01-08,58,2001-05-14,Savannah,GA,1938 Arcadian Street,Robert,32.045498,-81.140851,529,52686.79827955187
Lois,Williamson,Lois Williamson,334-718-3047,305,1988-05-05,30,2017-03-21,Arvada,CO,7966 Chase Circle,Cynthia,39.840388,-105.05578,"Traditional IRA,Brokerage,Roth IRA",34812.40413993162
Lillian,Ventura,Lillian Ventura,290-643-7967,306,1981-11-05,37,2011-10-02,Manchester,CT,104 Greenwood Drive,Cynthia,41.789222,-72.48995599999999,529,6721.167196235177
Patricia,Rosado,Patricia Rosado,568-516-4399,307,1952-11-08,66,2016-07-21,Bristol,VT,90 Mountain Street,Robert,44.140656,-73.07712599999999,"Traditional IRA,Roth IRA,529,Brokerage",288325.17195324675
Linda,Plummer,Linda Plummer,686-773-7611,308,1976-01-26,42,2000-10-11,Manchester,CT,89 High Ledge Circle,Robert,41.7495971,-72.476336,"Roth 401(k),529,Roth IRA,Traditional IRA,Brokerage",63726.27420663682
Fred,Wilcox,Fred Wilcox,637-863-4237,309,1986-09-02,32,2004-08-15,Anchorage,AK,Muldrow Street,Cynthia,61.3467503,-149.5424284,"529,Roth 401(k),Traditional IRA,Roth IRA,Brokerage",300254.70177023544
Kathy,Ray,Kathy Ray,346-104-3345,310,1977-04-12,41,2016-01-03,Brentwood,TN,5102 Ander Drive,Robert,36.0025004,-86.6944901,"Traditional IRA,Brokerage,Roth IRA,529,Roth 401(k)",62946.97806260067
Tricia,Moreau,Tricia Moreau,223-422-5387,311,1987-08-05,31,2008-08-13,Fayetteville,AR,540 East Appleby Road,Cynthia,36.1054754,-94.15089139999999,"Roth 401(k),529,Brokerage,Roth IRA,Traditional IRA",51900.789331011096
Susan,Perona,Susan Perona,328-774-9706,312,1990-02-10,28,2009-01-07,New Bedford,MA,228 Wood Street,Cynthia,41.678116,-70.92456,Traditional IRA,14891.859068347214
William,Pinkett,William Pinkett,392-982-5893,313,1960-08-10,58,2003-10-24,Savannah,GA,113 Dove Lane,Robert,31.9852832,-81.065208,"529,Roth IRA,Roth 401(k),Traditional IRA,Brokerage",135823.2738874251
Nicole,Lassiter,Nicole Lassiter,695-122-5793,314,1953-08-03,65,2005-08-03,Glendale,AZ,5708 West Union Hills Drive,Robert,33.655011,-112.1833113,"Roth 401(k),Brokerage,Traditional IRA",126529.61538517429
Sunny,Jones,Sunny Jones,580-558-0842,315,1980-05-06,38,2002-11-07,Louisville,KY,10124 Watsonville Road,Cynthia,38.105204,-85.820047,"Brokerage,Roth 401(k)",20243.909634989246
Patricia,Vanleer,Patricia Vanleer,156-511-9727,316,1972-12-05,45,2000-02-06,Union City,CA,33655 5th Street,Robert,37.601043,-122.019351,Roth 401(k),3741.173542759819
Brant,Brown,Brant Brown,491-350-3651,317,1973-09-25,45,2005-08-09,Saint Matthews,KY,903 Mallard Creek Road,Robert,38.2384725,-85.63011589999999,"Roth IRA,Brokerage,Traditional IRA",92541.53923495796
Anna,Hennemann,Anna Hennemann,334-986-9154,318,1984-11-11,34,2012-07-27,Panama City,FL,4712 Cherokee Heights Road,Robert,30.234223,-85.566684,"Brokerage,Traditional IRA,529",296827.6162387504
Ivan,Perez,Ivan Perez,563-755-8944,319,1984-09-02,34,2004-08-08,Vergennes,VT,1628 Button Bay Road,Cynthia,44.1758105,-73.34809249999999,Roth IRA,17540.09043052776
Edward,Sauve,Edward Sauve,279-160-2822,320,1965-01-24,53,2009-04-11,Panama City Beach,FL,409 Snook Lane,Cynthia,30.14119699999999,-85.745166,"Roth 401(k),Traditional IRA,Brokerage,529",66390.64743334455
Billy,Cotton,Billy Cotton,372-653-8667,321,1956-02-18,62,2011-01-16,Panama City,FL,232 Maine Avenue,Cynthia,30.1527033,-85.63207129999999,"Roth 401(k),Traditional IRA,Roth IRA,Brokerage",56123.3858650961
Jose,Quintero,Jose Quintero,632-606-3038,322,1953-01-21,65,2006-05-23,Berkeley,CA,1040 University Avenue,Cynthia,37.8685768,-122.2934965,"Brokerage,Roth 401(k),Traditional IRA,529,Roth IRA",50713.42548940253
Ethel,Knox,Ethel Knox,342-749-3638,323,1958-06-18,60,2004-04-16,Panama City,FL,1803 Hickory Avenue,Robert,30.181445,-85.69749999999999,"Traditional IRA,Roth IRA",15610.856634109452
Stacey,Taylor,Stacey Taylor,572-237-7910,324,1976-06-11,42,2014-02-22,Nashville,TN,314 Lallemand Court,Robert,36.078873,-86.694142,"Roth 401(k),Traditional IRA,529,Roth IRA",38811.5611288183
Salvador,White,Salvador White,310-569-4788,325,1962-11-14,56,2007-04-25,Arvada,CO,6434 Wright Street,Cynthia,39.813486,-105.140068,"Traditional IRA,Brokerage,529,Roth IRA,Roth 401(k)",48242.97715548621
Patrick,Schaaf,Patrick Schaaf,521-571-2204,326,1977-04-27,41,2001-01-28,Arvada,CO,13583 West 68th Avenue,Cynthia,39.8220027,-105.1518073,"Brokerage,Roth IRA,Traditional IRA,529,Roth 401(k)",58899.08095978511
William,Anselm,William Anselm,212-343-5811,327,1959-02-25,59,2009-11-17,Oklahoma City,OK,8800 Northwest 92nd Street,Robert,35.5649656,-97.67169559999999,"Traditional IRA,Roth 401(k),Roth IRA,Brokerage",195298.83955310108
Caroline,Hess,Caroline Hess,113-334-0795,328,1979-04-02,39,2006-11-18,Arvada,CO,8666 Iris Street,Robert,39.852885,-105.104035,"529,Traditional IRA,Brokerage,Roth 401(k),Roth IRA",42548.67116832077
Eva,Fantauzzi,Eva Fantauzzi,494-430-7634,329,1959-11-13,59,2013-08-17,Manchester,CT,146 Walnut Street,Robert,41.769463,-72.53650979999999,"Brokerage,Roth IRA",27325.717750299773
Jessica,Ford,Jessica Ford,385-657-8640,330,1954-09-07,64,2012-03-24,Arvada,CO,11813 West 75th Circle,Cynthia,39.8341751,-105.1322001,"Roth IRA,Brokerage,Traditional IRA,Roth 401(k)",122294.21658788045
Maria,Wilson,Maria Wilson,286-717-9211,331,1987-09-05,31,2009-09-05,Anchorage,AK,17433 Teklanika Drive,Cynthia,61.317634,-149.55739,"529,Roth 401(k),Traditional IRA",16039.723696982634
Steven,May,Steven May,199-955-6004,332,1981-11-03,37,2000-03-20,Manchester,CT,200 Redwood Road,Robert,41.748421,-72.562237,"Brokerage,Roth IRA,Traditional IRA,529",289295.65107248246
Brittany,Young,Brittany Young,349-953-5972,333,1958-07-22,60,2006-12-06,Montgomery,AL,4328 Brewer Road,Cynthia,32.314049,-86.388746,Roth 401(k),19504.133987497324
Frank,Becker,Frank Becker,673-964-0747,334,1982-02-25,36,2014-01-21,Manchester,CT,82 Queen Court,Robert,41.7666162,-72.56361679999999,"Roth 401(k),Roth IRA",25529.134372686876
Sue,Clark,Sue Clark,523-292-7042,335,1973-03-06,45,2001-08-24,Litchfield Park,AZ,12420 West Montebello Avenue,Cynthia,33.519491,-112.32613,"Brokerage,Roth IRA,529",15674.11198424142
Doris,Hilton,Doris Hilton,688-138-2731,336,1961-10-15,57,2013-06-19,Oklahoma City,OK,8800 Northwest 92nd Street,Cynthia,35.5649656,-97.67169559999999,"Brokerage,Roth IRA",7247.409736674965
David,Massey,David Massey,475-180-5846,337,1951-08-04,67,2003-01-23,Davidsonville,MD,707 Harrisburg Drive,Cynthia,38.935404,-76.616028,"Traditional IRA,Brokerage,Roth IRA,Roth 401(k)",34361.80658152932
Mary,Fowler,Mary Fowler,295-841-5845,338,1960-11-25,57,2015-08-05,Nashville,TN,846 Allen Road,Robert,36.150104,-86.65712099999999,Traditional IRA,6890.553983302327
Pansy,Foster,Pansy Foster,252-920-8096,339,1969-02-02,49,2002-07-14,Pooler,GA,112 Aquinnah Drive,Robert,32.0602837,-81.26482469999999,"Traditional IRA,529,Roth 401(k),Roth IRA,Brokerage",43941.97908271834
Nellie,Marrero,Nellie Marrero,395-544-9092,340,1950-11-07,68,2003-02-17,Manchester,CT,68 Bigelow Street,Cynthia,41.778697,-72.52448,"Traditional IRA,Roth 401(k),529",14004.554053154074
Amelia,Chung,Amelia Chung,167-947-3833,341,1979-02-19,39,2016-01-17,Newark,CA,5715 Saint Matthew Drive,Robert,37.538738,-122.024679,"529,Brokerage,Roth 401(k),Roth IRA",59455.53252091186
Margaret,Gavin,Margaret Gavin,435-610-7573,342,1958-08-13,60,2016-12-04,Louisville,KY,3810 Camp Ground Road,Cynthia,38.2132774,-85.8304088,"Roth 401(k),Roth IRA,Brokerage,529",51505.31974222908
Leona,Hill,Leona Hill,132-702-9457,343,1957-02-28,61,2006-08-16,Panama City,FL,1906 Palmetto Avenue,Robert,30.183646,-85.72276699999999,"Brokerage,Roth 401(k)",26472.72945685499
Iva,Lowe,Iva Lowe,561-906-5055,344,1977-11-01,41,2012-12-19,Nashville,TN,2505 Shadow Lane,Cynthia,36.201382,-86.701811,"Roth IRA,Roth 401(k),529,Brokerage",71373.00014345144
Carlos,Bernal,Carlos Bernal,380-805-7210,345,1977-06-08,41,2014-06-13,Farmington,AR,190 Countryside Drive,Robert,36.03632899999999,-94.2494229,"Traditional IRA,Roth IRA,529,Brokerage,Roth 401(k)",45924.24674279926
Danny,Lewis,Danny Lewis,130-955-6514,346,1965-11-11,53,2000-04-20,Fayetteville,AR,1643 North Jordan Lane,Robert,36.083059,-94.14270499999999,"529,Brokerage,Traditional IRA",366983.02098091965
Donald,Duey,Donald Duey,229-193-6629,347,1972-06-12,46,2005-01-07,Arvada,CO,6385 Oak Street,Robert,39.8119701,-105.1192906,"Roth 401(k),Brokerage,529,Traditional IRA",220661.24054388804
Benjamin,Cotto,Benjamin Cotto,139-503-1921,348,1978-05-23,40,2013-09-17,Panama City,FL,2560 Michigan Court,Cynthia,30.195109,-85.707312,"Roth IRA,Traditional IRA,529,Roth 401(k)",34142.27410622293
Krystal,Washington,Krystal Washington,125-569-4277,349,1955-06-20,63,2014-02-14,Panama City,FL,4125 Cobia Street,Robert,30.16287999999999,-85.78361699999999,529,218550.89087606303
Irving,Howard,Irving Howard,441-369-4003,350,1951-10-05,67,2015-06-14,Hayward,CA,1061 Sumatra Street,Robert,37.628092,-122.072806,"529,Brokerage,Roth IRA,Roth 401(k)",304541.8367680935
Patrick,Barton,Patrick Barton,346-277-4397,351,1981-09-10,37,2015-12-24,Montgomery,AL,105 West Wareingwood Drive,Robert,32.386508,-86.256005,"529,Roth IRA,Brokerage,Roth 401(k)",47218.05759277484
Geraldine,White,Geraldine White,455-345-2660,352,1953-06-19,65,2008-07-10,Washington,DC,125 13th Street Northeast,Cynthia,38.891265,-76.988068,"Traditional IRA,529,Roth 401(k)",65702.04338904376
Bernadine,Berry,Bernadine Berry,325-278-5475,353,1950-01-24,68,2006-11-12,Nashville,TN,1261 Sioux Terrace,Cynthia,36.247799,-86.670508,"Roth IRA,Roth 401(k),Traditional IRA,529",20963.014044966018
Cecilia,Barger,Cecilia Barger,671-834-3608,354,1966-03-19,52,2013-05-26,Montgomery,AL,2195 Cantelou Road,Cynthia,32.308832,-86.460094,"Roth IRA,529,Brokerage,Roth 401(k),Traditional IRA",483388.3882863011
William,Horton,William Horton,699-417-3599,355,1965-03-26,53,2001-01-19,Arvada,CO,11933 West 71st Avenue,Cynthia,39.8247405,-105.1324736,"Roth IRA,529",22540.14979872648
Steve,Lowery,Steve Lowery,249-227-0035,356,1956-11-01,62,2017-11-20,Manchester,CT,38 Devon Drive,Cynthia,41.7765259,-72.542975,"Traditional IRA,Roth 401(k),Brokerage,Roth IRA,529",171945.79110213387
Domingo,Richardson,Domingo Richardson,244-358-4484,357,1990-03-18,28,2000-05-17,Oakland,CA,1314 89th Avenue,Robert,37.7497401,-122.1762833,"529,Roth IRA,Brokerage,Traditional IRA,Roth 401(k)",116846.43620302813
Laverne,Coleman,Laverne Coleman,101-370-3200,358,1952-05-20,66,2001-07-09,Barre,VT,110 Elmwood Avenue,Cynthia,44.2097089,-72.50493600000001,"Traditional IRA,Roth 401(k),Roth IRA,Brokerage",49209.14547878787
Mary,Dolan,Mary Dolan,333-916-5722,359,1956-06-17,62,2007-01-25,Glendale,AZ,6216 West Bloomfield Road,Robert,33.59866,-112.192737,"Traditional IRA,529",42705.5167426284
Nancy,Abdullah,Nancy Abdullah,444-936-6816,360,1988-02-13,30,2013-09-13,Arvada,CO,8202 Dudley Way,Robert,39.846117,-105.094914,"Roth 401(k),529,Roth IRA,Brokerage",32113.951721075227
Alfred,Wagner,Alfred Wagner,646-932-9917,361,1987-04-16,31,2002-07-01,Fayetteville,AR,2849 Quail Drive,Cynthia,36.095294,-94.20036300000001,"Traditional IRA,Roth IRA",23285.456586625907
Doris,Gionet,Doris Gionet,132-236-7430,362,1953-02-18,65,2009-11-25,Panama City,FL,121 Alpine Way,Cynthia,30.183767,-85.490669,"Roth 401(k),Brokerage,Roth IRA,529,Traditional IRA",89242.28980571985
Carolina,Payne,Carolina Payne,363-236-1254,363,1952-07-20,66,2013-05-21,Northfield,KY,2347 Glen Eagle Drive,Robert,38.2862836,-85.6299745,"Roth 401(k),Roth IRA,Brokerage,Traditional IRA,529",62925.64109404724
Stephen,Ridge,Stephen Ridge,249-185-8558,364,1969-06-01,49,2004-01-15,Quincy,MA,15 Taft Street,Robert,42.2470916,-70.9967487,"Brokerage,Traditional IRA,Roth IRA,529,Roth 401(k)",220958.64868446474
Arturo,Hobbs,Arturo Hobbs,683-669-9105,365,1989-05-04,29,2013-10-01,Anchorage,AK,2307 East 72nd Avenue,Robert,61.155804,-149.8395899,"Roth IRA,Brokerage,529,Roth 401(k),Traditional IRA",69654.37204532068
William,Salinas,William Salinas,365-430-2983,366,1981-07-07,37,2016-09-01,Union City,CA,31250 Courthouse Drive,Cynthia,37.60187639999999,-122.0648031,"Roth 401(k),Traditional IRA,Roth IRA,Brokerage,529",90773.16601036713
Kathryn,Muir,Kathryn Muir,659-993-9003,367,1969-07-01,49,2005-05-12,Washington,DC,1641 Kramer Street Northeast,Robert,38.897659,-76.980705,"529,Traditional IRA,Brokerage",30162.772564858515
Joseph,Doyle,Joseph Doyle,169-613-1967,368,1950-10-10,68,2011-04-25,Burlington,VT,180 Intervale Avenue,Cynthia,44.489187,-73.209839,Traditional IRA,8701.56873076484
Herbert,Torres,Herbert Torres,389-189-5231,369,1967-03-11,51,2008-03-27,Arvada,CO,5712 Saulsbury Street,Robert,39.8006311,-105.0753746,"529,Roth IRA,Traditional IRA",14401.848486524821
Henrietta,Phillips,Henrietta Phillips,372-172-4790,370,1951-11-15,67,2004-11-08,Oklahoma City,OK,5112 Southwest 124th Place,Robert,35.343756,-97.608513,"Brokerage,Roth 401(k),529,Traditional IRA",204192.50003515361
Dorothy,Contreras,Dorothy Contreras,123-680-3192,371,1977-03-13,41,2016-09-27,Edgewater,MD,105 Bear Creek Parkway,Robert,38.901074,-76.524779,"Brokerage,529,Roth IRA,Roth 401(k),Traditional IRA",325270.62513375044
Catherine,Cowan,Catherine Cowan,396-439-8367,372,1979-12-19,38,2002-04-04,Glen Burnie,MD,6460 Lacrosse Lane,Robert,39.196587,-76.626699,"Traditional IRA,Brokerage,529,Roth IRA,Roth 401(k)",396383.30244758324
Donald,Varnell,Donald Varnell,361-117-1666,373,1968-01-20,50,2016-10-26,Harwich,MA,25 Wendys Way,Robert,41.698893,-70.07624,"Traditional IRA,Roth IRA",37513.572248737226
Helen,Cruz,Helen Cruz,142-315-1526,374,1979-01-26,39,2004-08-17,Arvada,CO,8595 West 81st Drive,Cynthia,39.8449341,-105.0937351,"529,Roth IRA,Roth 401(k)",245785.78922665957
Thomas,Perry,Thomas Perry,468-679-2331,375,1957-09-17,61,2013-04-19,Edmond,OK,2700 Verona Way,Cynthia,35.646889,-97.44485999999999,"529,Brokerage,Traditional IRA,Roth IRA",368994.79586455197
Veronica,Lewis,Veronica Lewis,135-504-2617,376,1973-12-26,44,2012-02-27,Concord,CA,1238 Roanwood Way,Robert,37.94042,-121.944464,"Traditional IRA,Brokerage,Roth IRA,Roth 401(k),529",326050.33626078727
Peter,Gonzalez,Peter Gonzalez,290-247-5333,377,1968-05-04,50,2011-09-08,Grand Junction,CO,378 Bonny Street,Robert,39.059697,-108.543777,"Traditional IRA,Roth 401(k),Roth IRA,529",70286.7578997756
Steven,Garcia,Steven Garcia,293-304-3379,378,1952-03-14,66,2001-06-26,Nashville,TN,312 Shepherd Hills Drive,Cynthia,36.29248,-86.691462,"Roth 401(k),Brokerage,529,Roth IRA,Traditional IRA",55351.389214507
Orlando,Frisco,Orlando Frisco,437-575-1775,379,1971-06-16,47,2015-04-01,Glendale,AZ,8318 North 57th Drive,Cynthia,33.557537,-112.183238,"Roth 401(k),Roth IRA",14906.852534362439
Bobby,Nickel,Bobby Nickel,409-794-2631,380,1990-08-17,28,2016-11-17,Warr Acres,OK,4807 North Grove Avenue,Robert,35.5203601,-97.6147122,"Roth IRA,Roth 401(k),Brokerage,529,Traditional IRA",47843.53349196668
Lacie,Delgado,Lacie Delgado,614-134-1544,381,1978-09-06,40,2000-07-06,Moore,OK,1513 Southeast 9th Street,Robert,35.329431,-97.465397,"529,Roth IRA,Brokerage,Roth 401(k),Traditional IRA",51587.330501385244
John,Carlisle,John Carlisle,590-226-2200,382,1953-11-15,65,2016-11-17,Fayetteville,AR,4079 North Sunflower Circle,Cynthia,36.125191,-94.132121,Roth 401(k),21836.483726753646
Edward,Hill,Edward Hill,635-455-9024,383,1979-08-05,39,2010-07-10,Williston,VT,5124 Williston Road,Cynthia,44.454578,-73.123093,"Brokerage,Roth 401(k),529",135435.7269779095
Michael,Hernandez,Michael Hernandez,604-409-0193,384,1962-02-21,56,2000-02-17,Savannah,GA,115 Falkirk Street,Robert,32.148764,-81.167458,Roth IRA,3777.975067639483
Gladys,Holland,Gladys Holland,638-592-5374,385,1967-11-13,51,2013-09-10,Colchester,VT,294 East Lakeshore Drive,Cynthia,44.545238,-73.210098,"Roth IRA,Roth 401(k)",26082.01270863307
Christopher,Handy,Christopher Handy,342-710-3405,386,1956-10-03,62,2008-03-20,Montgomery,AL,8293 Grayson Grove,Cynthia,32.3331541,-86.1546573,Roth 401(k),15705.533875905501
